s,SpecialistHourlyCapacity,SpecialistIsFullTime
564,110.41,
565,78.88,
566,543.2,
567,158.38,1.0
568,185.45,1.0
569,199.99,1.0
570,137.62,
571,75.0,
572,106.6,
573,178.79,
574,103.57,
575,180.97,
576,111.89,
577,284.07,
578,114.95,
579,119.58,
580,94.71,
581,191.35,
582,103.45,
583,60.02,
584,177.25,1.0
585,95.88,
586,137.7,
587,156.4,
588,104.67,
589,112.82,
590,84.34,
591,148.13,
592,148.29,
593,116.77,
594,91.41,
595,215.58,
596,114.25,
597,75.0,1.0
598,75.0,
599,188.94,1.0
600,75.0,
601,329.1,1.0
602,153.74,
603,72.25,
604,75.0,
605,106.67,
606,108.89,
607,133.34,
608,75.0,
609,102.42,
610,109.69,
611,176.46,
612,95.02,
613,78.71,
614,101.61,
615,167.06,
616,508.24,
617,75.0,
618,75.0,
619,258.73,1.0
620,75.0,
621,189.13,
622,75.0,
623,124.98,
624,123.17,
625,89.17,
626,165.5,
627,108.44,
628,75.0,1.0
629,50.28,
630,117.4,
631,206.57,
632,79.62,
633,120.83,
634,132.34,
635,218.69,
636,83.36,
637,72.37,
638,81.03,
639,62.81,
640,87.19,
641,99.43,
642,75.0,
643,201.61,1.0
644,529.79,1.0
645,251.0,
646,78.44,
647,564.6,1.0
648,154.52,
649,417.61,
650,83.61,
651,100.39,
652,245.05,
653,155.76,
654,140.35,
655,75.0,
656,168.51,
657,86.36,
658,93.29,
659,75.0,1.0
660,154.98,
661,222.3,1.0
662,84.8,
663,113.07,
664,409.22,1.0
665,147.57,
666,125.63,
667,110.91,
668,95.73,
669,130.02,
670,250.0,
671,245.52,1.0
672,262.93,1.0
673,75.0,1.0
674,198.88,1.0
675,360.97,1.0
676,75.0,1.0
677,215.1,1.0
678,75.0,1.0
679,240.96,1.0
680,342.86,1.0
681,57.23,
682,93.75,
683,92.56,
684,164.35,
685,52.95,
686,113.11,
687,116.79,
688,125.31,
689,167.37,
690,165.18,
691,120.63,
692,107.44,
693,67.18,
694,128.29,
695,248.85,
696,250.0,
697,135.71,
698,75.0,
699,124.84,
700,170.35,1.0
701,258.39,
702,83.91,
703,75.0,1.0
704,223.87,1.0
705,203.54,
706,79.69,
707,148.93,
708,147.55,
709,126.8,
710,141.72,
711,67.89,
712,151.5,
713,81.02,
714,320.71,1.0
715,186.17,1.0
716,274.12,1.0
717,237.54,1.0
718,341.38,1.0
719,186.67,1.0
720,60.63,
721,208.8,1.0
722,118.98,
723,356.42,
724,59.75,
725,75.0,1.0
726,272.15,1.0
727,170.89,
728,155.58,
729,181.35,1.0
730,150.52,
731,150.65,
732,237.14,
733,117.74,
734,163.93,
735,166.41,
736,76.81,
737,109.97,
738,75.0,
739,75.0,1.0
740,90.69,
741,78.91,
742,131.22,
743,68.88,
744,244.74,1.0
745,75.0,
746,104.11,
747,228.75,
748,137.13,
749,147.97,
750,90.79,
751,140.06,
752,186.75,
753,58.32,
754,247.92,
755,170.06,
756,133.26,
757,169.82,
758,75.0,
759,146.15,
760,125.26,
761,153.08,
762,75.0,
763,99.44,
764,149.13,
765,534.86,
766,75.0,
767,75.0,
768,75.98,
769,136.76,
770,418.87,
771,75.0,
772,133.47,
773,95.36,
774,73.52,
775,174.63,
776,89.86,
777,229.79,
778,91.41,
779,90.37,
780,232.54,
781,199.38,1.0
782,75.0,1.0
783,132.66,
784,83.44,
785,83.61,
786,75.0,
787,170.97,
788,111.53,
789,69.09,
790,101.75,
791,127.26,
792,237.37,
793,203.06,1.0
794,113.03,
795,241.94,1.0
796,75.0,
797,96.66,
798,159.31,
799,151.95,
800,89.51,
801,84.3,
802,55.1,
803,101.57,
804,67.55,
805,71.86,
806,122.19,
807,121.35,
808,78.24,
809,113.45,
810,115.35,
811,185.07,
812,87.14,
813,103.02,
814,95.26,
815,91.01,
816,89.73,
817,130.84,
818,75.0,
819,115.15,
820,75.0,
821,145.23,
822,93.63,
823,280.61,
824,395.17,
825,196.7,
826,97.41,
827,75.0,
828,136.13,
829,69.22,
830,136.78,
831,155.76,
832,96.75,
833,108.95,
834,66.96,
835,282.44,1.0
836,201.76,1.0
837,161.72,
838,74.82,
839,96.85,
840,164.94,
841,162.01,
842,130.39,
843,75.0,1.0
844,129.15,
845,135.8,
846,107.71,
847,198.35,
848,75.0,1.0
849,203.19,1.0
850,372.57,1.0
851,75.0,1.0
852,167.55,1.0
853,100.97,
854,118.09,
855,75.0,
856,162.0,1.0
857,273.78,1.0
858,224.0,1.0
859,75.52,
860,124.23,
861,79.99,
862,192.3,1.0
863,96.88,
864,199.22,1.0
865,75.0,1.0
866,198.14,1.0
867,150.92,
868,75.0,
869,75.0,
870,140.24,
871,76.58,
872,75.0,
873,217.09,1.0
874,182.31,
875,78.3,
876,111.72,
877,200.05,
878,285.89,1.0
879,199.79,
880,165.18,
881,82.11,
882,75.0,
883,281.26,1.0
884,103.02,
885,338.66,1.0
886,227.29,1.0
887,290.77,1.0
888,75.0,
889,75.0,1.0
890,70.68,
891,91.13,
892,73.04,
893,359.67,
894,159.01,
895,165.1,
896,93.09,
897,98.82,
898,75.0,1.0
899,118.07,
900,290.24,1.0
901,208.82,
902,88.88,
903,250.78,1.0
904,75.0,
905,237.05,1.0
906,204.62,
907,75.0,
908,75.0,
909,144.85,
910,228.15,1.0
911,225.19,
912,288.46,1.0
913,58.75,
914,75.0,1.0
915,241.46,1.0
916,100.47,
917,139.48,
918,75.0,
919,63.11,
920,65.64,
921,75.0,
922,311.86,1.0
923,75.0,
924,151.28,
925,151.06,
926,75.0,1.0
927,273.78,1.0
928,75.0,1.0
929,173.21,1.0
930,67.68,
931,192.38,1.0
932,75.0,1.0
933,75.0,
934,87.72,
935,239.37,1.0
936,101.07,
937,297.76,1.0
938,213.56,1.0
939,280.01,1.0
940,261.81,1.0
941,171.68,1.0
942,193.28,1.0
943,164.04,1.0
944,107.29,1.0
945,75.0,
946,80.05,
947,75.0,
948,75.0,1.0
949,81.06,
950,75.0,
951,117.51,
952,209.3,
953,100.77,
954,288.64,1.0
955,75.0,
956,190.4,1.0
957,75.33,
958,75.0,1.0
959,164.34,1.0
960,213.96,1.0
961,180.99,1.0
962,210.65,1.0
963,108.15,
964,100.11,
965,75.0,1.0
966,70.44,
967,151.93,
968,228.21,
969,316.05,
970,112.82,
971,203.48,
972,250.0,
973,291.46,1.0
974,85.36,
975,80.31,
976,164.76,
977,190.98,1.0
978,218.24,1.0
979,96.45,
980,260.34,1.0
981,75.0,1.0
982,93.34,
983,74.83,
984,61.5,
985,62.07,
986,184.22,1.0
987,305.86,1.0
988,91.7,
989,177.95,
990,105.51,
991,71.73,
992,94.23,
993,228.39,1.0
994,137.94,
995,166.49,
996,156.81,
997,356.62,1.0
998,116.22,
999,75.0,
1000,75.0,
1001,184.69,
1002,75.0,
1003,75.0,
1004,75.0,1.0
1005,75.0,
1006,96.23,
1007,66.39,
1008,116.67,
1009,245.16,1.0
1010,75.0,1.0
1011,522.4,1.0
1012,375.19,1.0
1013,75.0,1.0
1014,239.34,1.0
1015,387.49,1.0
1016,75.0,1.0
1017,203.5,1.0
1018,209.18,1.0
1019,67.12,
1020,297.44,1.0
1021,149.01,
1022,93.07,
1023,75.0,
1024,103.3,
1025,101.79,
1026,241.92,1.0
1027,53.77,
1028,243.7,1.0
1029,159.31,1.0
1030,70.49,
1031,278.62,1.0
1032,89.64,
1033,149.58,
1034,53.82,
1035,218.73,1.0
1036,125.65,
1037,559.92,
1038,75.0,1.0
1039,75.0,
1040,218.08,1.0
1041,75.0,
1042,419.43,1.0
1043,263.16,1.0
1044,230.3,1.0
1045,131.43,
1046,227.33,1.0
1047,134.23,
1048,153.65,
1049,203.22,
1050,115.97,
1051,101.46,
1052,75.0,1.0
1053,259.06,1.0
1054,72.91,
1055,266.74,1.0
1056,100.34,
1057,75.0,
1058,82.76,
1059,130.4,
1060,82.62,
1061,221.48,1.0
1062,111.43,
1063,164.88,1.0
1064,149.58,
1065,90.08,
1066,75.0,1.0
1067,198.13,1.0
1068,83.83,
1069,75.0,1.0
1070,91.98,
1071,105.46,
1072,163.62,
1073,114.31,
1074,124.52,
1075,235.25,
1076,75.0,
1077,75.0,
1078,75.0,
1079,75.0,
1080,75.0,
1081,213.61,
1082,156.67,
1083,86.6,
1084,114.44,
1085,75.0,
1086,75.0,
1087,75.0,
1088,168.39,
1089,67.17,
1090,75.0,
1091,74.06,
1092,57.94,
1093,98.01,
1094,75.0,
1095,65.18,
1096,75.0,
1097,95.6,
1098,59.2,
1099,94.09,
1100,59.68,
1101,269.13,1.0
1102,95.83,
1103,100.13,
1104,298.17,1.0
1105,58.43,
1106,131.53,
1107,96.21,
1108,202.05,1.0
1109,213.58,1.0
1110,216.93,
1111,140.8,1.0
1112,97.16,
1113,146.23,
1114,200.86,1.0
1115,87.05,
1116,100.0,
1117,53.58,
1118,257.88,1.0
1119,105.72,
1120,78.68,
1121,247.45,1.0
1122,256.76,1.0
1123,249.07,1.0
1124,281.46,1.0
1125,75.0,
1126,201.33,1.0
1127,211.15,1.0
1128,157.58,
1129,358.96,1.0
1130,75.0,
1131,109.09,
1132,59.58,
1133,75.0,
1134,75.0,
1135,68.32,
1136,75.0,
1137,99.96,
1138,242.41,1.0
1139,127.46,
1140,51.82,
1141,72.29,
1142,250.0,
1143,477.56,1.0
1144,222.56,1.0
1145,141.89,
1146,169.27,
1147,75.0,1.0
1148,56.24,
1149,384.32,
1150,108.56,
1151,86.91,
1152,127.42,
1153,268.29,1.0
1154,136.84,
1155,106.66,
1156,219.06,1.0
1157,113.8,
1158,234.65,1.0
1159,203.21,
1160,75.0,1.0
1161,75.0,
1162,106.06,
1163,81.6,
1164,310.79,
1165,110.77,
1166,58.24,
1167,75.24,
1168,78.47,
1169,122.73,
1170,107.41,
1171,137.64,
1172,184.98,
1173,101.6,
1174,75.0,
1175,127.86,
1176,200.95,
1177,51.72,
1178,103.4,
1179,134.13,
1180,75.0,
1181,76.03,
1182,187.4,
1183,57.9,
1184,119.13,
1185,75.0,
1186,57.89,
1187,75.0,
1188,59.82,
1189,64.15,
1190,98.23,
1191,326.22,1.0
1192,186.15,1.0
1193,215.41,1.0
1194,75.0,1.0
1195,193.06,1.0
1196,129.35,
1197,242.48,1.0
1198,66.06,
1199,143.89,
1200,87.93,
1201,93.94,
1202,103.65,
1203,252.07,
1204,137.53,
1205,171.95,
1206,157.82,
1207,128.52,
1208,142.8,
1209,73.84,
1210,50.79,
1211,85.85,
1212,75.0,
1213,142.11,
1214,142.56,1.0
1215,180.39,1.0
1216,75.0,1.0
1217,61.26,
1218,77.57,
1219,75.0,
1220,101.62,
1221,143.65,
1222,75.0,
1223,178.45,
1224,202.75,1.0
1225,81.97,
1226,69.53,
1227,405.55,
1228,75.0,
1229,113.34,
1230,200.52,
1231,95.18,
1232,103.14,
1233,196.89,1.0
1234,281.77,
1235,188.29,
1236,55.43,
1237,91.87,
1238,69.34,
1239,234.95,
1240,329.33,
1241,313.13,1.0
1242,88.13,
1243,292.61,
1244,79.76,
1245,80.16,
1246,75.0,
1247,75.0,
1248,116.4,
1249,94.59,
1250,139.32,
1251,133.98,
1252,114.51,
1253,143.77,
1254,110.75,
1255,146.35,
1256,68.17,
1257,103.16,
1258,82.65,
1259,182.74,
1260,75.0,
1261,152.91,
1262,231.76,
1263,73.24,
1264,157.22,1.0
1265,125.2,
1266,139.23,
1267,75.0,1.0
1268,91.7,
1269,158.01,
1270,106.06,
1271,93.58,
1272,136.05,
1273,210.05,
1274,106.0,
1275,213.71,
1276,93.09,
1277,75.0,
1278,82.44,
1279,106.53,
1280,156.49,
1281,151.36,
1282,66.73,
1283,84.81,
1284,84.27,
1285,176.55,
1286,75.0,1.0
1287,143.94,
1288,112.46,
1289,115.69,
1290,76.04,
1291,194.27,
1292,74.77,
1293,83.75,
1294,175.96,
1295,136.61,
1296,73.84,
1297,250.0,
1298,73.97,
1299,135.72,
1300,176.74,
1301,81.55,
1302,225.94,1.0
1303,224.58,1.0
1304,75.0,
1305,141.71,
1306,130.4,
1307,130.3,
1308,145.58,
1309,143.77,
1310,75.0,
1311,220.57,
1312,98.35,
1313,242.17,
1314,75.0,
1315,119.16,
1316,259.2,
1317,169.27,
1318,64.43,
1319,77.37,
1320,75.0,1.0
1321,95.2,
1322,250.0,
1323,105.52,
1324,81.95,
1325,75.0,
1326,208.39,
1327,85.63,
1328,75.0,
1329,296.1,1.0
1330,158.19,
1331,58.28,
1332,75.0,
1333,165.31,
1334,176.27,
1335,75.0,
1336,240.91,1.0
1337,75.0,1.0
1338,73.88,
1339,170.25,
1340,316.03,
1341,452.09,
1342,324.03,1.0
1343,75.0,
1344,124.63,
1345,80.01,
1346,469.58,
1347,75.0,
1348,202.35,
1349,77.22,
1350,163.5,
1351,84.7,
1352,75.0,
1353,124.69,
1354,225.18,
1355,96.73,
1356,58.95,
1357,75.0,
1358,119.38,
1359,188.08,
1360,178.49,
1361,50.79,
1362,83.12,
1363,71.29,
1364,158.06,
1365,311.03,
1366,298.82,
1367,89.95,
1368,235.89,1.0
1369,120.75,
1370,75.0,1.0
1371,135.34,
1372,131.83,
1373,75.0,
1374,55.65,
1375,199.04,
1376,85.19,
1377,164.78,
1378,96.37,
1379,213.95,
1380,75.0,
1381,75.0,
1382,152.72,
1383,75.0,
1384,109.6,
1385,146.58,
1386,153.57,
1387,126.09,
1388,213.8,1.0
1389,75.0,
1390,247.11,
1391,250.0,
1392,77.05,
1393,102.05,
1394,91.35,
1395,129.08,
1396,147.09,
1397,86.23,
1398,75.0,
1399,103.04,
1400,69.69,
1401,71.01,
1402,54.28,
1403,311.52,1.0
1404,75.0,
1405,77.09,
1406,77.22,
1407,189.3,
1408,98.65,
1409,91.08,
1410,75.0,
1411,233.77,
1412,75.0,1.0
1413,168.38,
1414,181.65,
1415,134.46,
1416,99.97,
1417,85.51,
1418,67.36,
1419,155.5,
1420,104.5,
1421,111.92,
1422,58.1,
1423,83.14,
1424,80.92,
1425,75.0,
1426,166.13,
1427,75.0,
1428,75.0,
1429,96.57,
1430,74.07,
1431,92.87,
1432,67.73,
1433,259.79,
1434,75.0,
1435,75.0,
1436,101.03,
1437,93.02,
1438,111.58,
1439,179.13,1.0
1440,75.0,
1441,121.59,
1442,75.0,
1443,120.58,
1444,124.5,
1445,122.64,
1446,69.6,
1447,221.64,
1448,123.5,
1449,106.17,
1450,104.84,
1451,75.0,
1452,152.84,
1453,206.59,1.0
1454,248.53,1.0
1455,262.79,
1456,106.83,
1457,301.17,1.0
1458,84.85,
1459,65.19,
1460,77.34,
1461,66.64,
1462,120.51,
1463,75.0,
1464,75.0,
1465,73.19,
1466,75.0,
1467,75.0,
1468,73.67,
1469,206.91,1.0
1470,126.11,
1471,75.0,
1472,148.2,
1473,73.2,
1474,179.0,
1475,91.81,
1476,93.78,
1477,115.45,
1478,73.67,
1479,146.34,
1480,149.89,1.0
1481,93.56,
1482,108.96,
1483,287.15,1.0
1484,109.54,
1485,68.43,
1486,137.26,
1487,71.92,
1488,103.73,
1489,276.24,
1490,87.89,
1491,95.11,
1492,261.78,
1493,83.85,
1494,158.78,
1495,137.77,
1496,88.27,
1497,98.41,
1498,85.31,
1499,103.99,
1500,75.0,
1501,122.57,
1502,75.0,
1503,116.01,
1504,94.74,
1505,81.15,
1506,99.2,
1507,75.0,
1508,75.0,
1509,75.0,
1510,100.52,
1511,69.94,
1512,594.32,
1513,233.13,1.0
1514,506.72,
1515,75.0,
1516,103.7,
1517,102.29,
1518,99.48,
1519,243.96,1.0
1520,177.48,1.0
1521,98.08,
1522,85.43,
1523,110.64,
1524,196.08,
1525,201.12,
1526,83.96,
1527,62.43,
1528,106.96,
1529,78.81,
1530,245.64,
1531,152.33,
1532,414.05,
1533,75.0,
1534,105.7,
1535,105.35,
1536,140.49,
1537,75.0,1.0
1538,81.83,
1539,113.65,
1540,75.0,
1541,125.94,
1542,197.09,
1543,166.89,
1544,75.0,
1545,84.42,
1546,94.69,
1547,112.72,
1548,220.01,
1549,275.81,1.0
1550,193.86,1.0
1551,75.0,
1552,85.75,
1553,134.77,
1554,66.48,
1555,82.1,
1556,406.15,
1557,161.3,
1558,75.0,
1559,75.0,
1560,75.0,
1561,115.15,
1562,145.78,
1563,83.75,
1564,75.0,
1565,372.88,
1566,229.47,
1567,178.21,
1568,75.0,
1569,181.98,
1570,219.29,1.0
1571,257.28,1.0
1572,129.85,
1573,84.14,
1574,216.64,1.0
1575,97.03,
1576,75.0,
1577,118.7,
1578,101.24,
1579,369.05,1.0
1580,239.05,1.0
1581,136.69,
1582,75.0,
1583,151.11,
1584,95.76,
1585,53.81,
1586,390.42,1.0
1587,215.36,
1588,67.93,
1589,320.25,
1590,236.97,
1591,88.67,
1592,118.57,
1593,309.28,
1594,116.78,
1595,185.14,
1596,249.18,
1597,75.0,
1598,75.0,
1599,75.0,1.0
1600,195.1,1.0
1601,94.84,
1602,78.68,
1603,87.22,
1604,140.19,
1605,101.59,
1606,70.81,
1607,164.34,
1608,105.78,
1609,60.28,
1610,113.03,
1611,75.0,
1612,146.77,
1613,114.96,
1614,180.56,1.0
1615,117.7,
1616,75.0,
1617,122.23,
1618,86.3,
1619,100.23,
1620,110.62,
1621,220.42,
1622,183.96,
1623,75.0,
1624,283.91,
1625,200.68,1.0
1626,119.4,
1627,132.43,
1628,158.17,
1629,123.82,
1630,75.0,
1631,174.54,1.0
1632,86.67,
1633,70.13,
1634,148.62,
1635,67.03,
1636,147.72,
1637,75.0,
1638,116.88,
1639,96.4,
1640,197.44,1.0
1641,440.71,1.0
1642,140.41,
1643,148.65,
1644,116.16,
1645,164.96,
1646,81.63,
1647,250.0,
1648,75.0,
1649,114.42,
1650,119.86,
1651,86.8,
1652,77.65,
1653,50.74,
1654,106.04,
1655,75.0,
1656,147.87,
1657,75.0,
1658,53.27,
1659,333.79,1.0
1660,75.0,
1661,128.62,
1662,83.01,
1663,75.0,
1664,156.77,
1665,75.0,
1666,78.52,
1667,154.85,
1668,111.61,
1669,213.65,1.0
1670,75.0,
1671,74.9,
1672,203.91,1.0
1673,205.26,
1674,197.88,
1675,287.63,1.0
1676,112.14,
1677,209.39,1.0
1678,247.74,1.0
1679,75.0,1.0
1680,75.0,1.0
1681,75.0,1.0
1682,226.41,1.0
1683,75.0,1.0
1684,75.0,1.0
1685,99.41,
1686,98.63,
1687,75.0,
1688,92.47,
1689,75.0,
1690,109.6,
1691,174.71,
1692,102.49,
1693,133.26,
1694,156.35,
1695,202.36,1.0
1696,190.49,
1697,66.38,
1698,236.56,1.0
1699,241.78,1.0
1700,75.0,1.0
1701,239.9,1.0
1702,481.41,1.0
1703,75.0,1.0
1704,143.8,
1705,182.0,
1706,211.7,1.0
1707,72.32,
1708,355.04,
1709,153.64,
1710,138.37,
1711,63.1,
1712,88.16,
1713,96.1,
1714,299.54,
1715,50.68,
1716,104.84,
1717,277.72,
1718,149.62,
1719,222.15,1.0
1720,204.68,1.0
1721,201.72,1.0
1722,161.53,1.0
1723,211.02,1.0
